Title,Platform,EmulationStatus
Black,PS2,EXCELLENT
FIFA 06,PS2,EXCELLENT
Need For Speed Most Wanted,PS2,EXCELLENT
Les Experts CSI: Las Vegas,PS2,EXCELLENT
Disney Chicken Little,PS2,EXCELLENT
Pimp My Ride,PS2,EXCELLENT
Road Rage 3,PS2,EXCELLENT
Crazy Taxi,PS2,EXCELLENT
LEGO Star Wars: Le Jeu Video,PS2,EXCELLENT
Saint Seiya: Hades,PS2,EXCELLENT
Les Urbz: Les Sims in the City,PS2,EXCELLENT
Les Sims: Permis de Sortir,PS2,EXCELLENT
XG3: Extreme-G Racing,PS2,EXCELLENT
Tom Clancy's Ghost Recon,PS2,EXCELLENT
Lake Masters EX,PS2,EXCELLENT
Metal Gear Solid 2: Sons of Liberty,PS2,EXCELLENT
ESPN NBA 2K5,PS2,EXCELLENT
Rogue Galaxy,PS2,EXCELLENT
Crash Tag Team Racing,PS2,EXCELLENT
Baldur's Gate: Dark Alliance II,PS2,EXCELLENT
Taito Legends 2,PS2,EXCELLENT
Billiards Xciting,PS2,EXCELLENT
Disney Bolt,PS2,EXCELLENT
WWE SmackDown! Here Comes The Pain,PS2,EXCELLENT
Tourist Trophy,PS2,EXCELLENT
Le Seigneur des Anneaux: Les Deux Tours,PS2,EXCELLENT
Le Seigneur des Anneaux: Le Retour du Roi,PS2,EXCELLENT
FIFA Football 2003,PS2,EXCELLENT
Athens 2004,PS2,EXCELLENT
FIFA Football 2005,PS2,EXCELLENT
Pro Evolution Soccer 4,PS2,EXCELLENT
Pro Evolution Soccer 5,PS2,EXCELLENT
Onimusha 3,PS2,EXCELLENT
FIFA Football 2004,PS2,EXCELLENT
Asterix & Obelix XXL 2,PS2,EXCELLENT
Catwoman,PS2,EXCELLENT
Myth Makers Super Kart GP,PS2,EXCELLENT
TOCA Race Driver 2,PS2,EXCELLENT
Disney-Pixar WALL-E,PS2,EXCELLENT
International Snooker Championship,PS2,EXCELLENT
Titeuf Mega-compet,PS2,EXCELLENT
Roland Garros 2005,PS2,EXCELLENT
Arthur et les Minimoys,PS2,EXCELLENT
Colin McRae Rally 2005,PS2,EXCELLENT
MotoGP,PS2,EXCELLENT
Finding Nemo,PS2,EXCELLENT
Medal of Honor Frontline,PS2,EXCELLENT
GTA: Vice City,PS2,EXCELLENT
GTA: San Andreas,PS2,EXCELLENT
Van Helsing,PS2,EXCELLENT
SingStar NRJ Music Tour,PS2,EXCELLENT
Gran Turismo 3 A-spec,PS2,EXCELLENT
Final Fantasy XII,PS2,EXCELLENT
Prince of Persia: L'Ame du Guerrier,PS2,EXCELLENT
Burnout 2: Point of Impact,PS2,EXCELLENT
Burnout 3: Takedown,PS2,EXCELLENT
V-Rally 3,PS2,EXCELLENT
SOCOM II: U.S. Navy SEALs,PS2,EXCELLENT
Tom Clancy's Splinter Cell Chaos Theory,PS2,EXCELLENT
Le Monde de Narnia: Chapitre 1,PS2,EXCELLENT
Le Seigneur des Anneaux (PS2),PS2,EXCELLENT
Grand Theft Auto (PS2),PS2,EXCELLENT
Gran Turismo 4,PS2,EXCELLENT
Prince of Persia: Les Sables du Temps,PS2,EXCELLENT
Grand Theft Auto (PS1),PS1,EXCELLENT
LocoRoco,PSP,EXCELLENT
ATV Offroad Fury Pro,PSP,EXCELLENT
FIFA 09 (PSP),PSP,EXCELLENT
Juiced 2: Hot Import Nights,PSP,EXCELLENT
Virtua Tennis 3,PSP,EXCELLENT
Pro Evolution Soccer (PSP),PSP,EXCELLENT
Family Guy,PSP,EXCELLENT
Burnout (EA Replay),PSP,EXCELLENT
Dragon Ball Z: Shin Budokai,PSP,EXCELLENT
Tekken: Dark Resurrection,PSP,EXCELLENT
WipEout Pure,PSP,EXCELLENT
FIFA 07 (PSP),PSP,EXCELLENT
Madden NFL 08 (PSP),PSP,EXCELLENT
Daxter,PSP,EXCELLENT
Brothers In Arms: D-Day,PSP,EXCELLENT
Colin McRae 2 (PSP),PSP,EXCELLENT
Tom Clancy's EndWar,PSP,EXCELLENT
Monster Hunter Freedom,PSP,EXCELLENT
Gran Turismo (PSP),PSP,EXCELLENT
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,EXCELLENT
Driver 76,PSP,EXCELLENT
Shaun White Snowboarding,PSP,EXCELLENT
Everybody's Golf,PS Vita,POOR/NONE
FIFA 15 (Vita),PS Vita,POOR/NONE
Need for Speed Most Wanted (Vita),PS Vita,POOR/NONE
Metal Gear Solid (Vita),PS Vita,POOR/NONE
Uncharted: Golden Abyss,PS Vita,POOR/NONE
Mario Sports Mix,Wii,EXCELLENT
The Lapins Cretins: La Grosse Aventure,Wii,EXCELLENT
Wii Party,Wii,EXCELLENT
Super Smash Bros Brawl,Wii,EXCELLENT
Disney Rapunzel,Wii,EXCELLENT
FIFA 15 (Wii),Wii,EXCELLENT
Super Mario Bros. 3,NES,EXCELLENT
Franklin the Turtle,GBA,EXCELLENT
Madagascar,GBA,EXCELLENT
Krusty's ... (Konami GBA),GBA,EXCELLENT
Super Mario 3D World,Wii U,GOOD
Disney Infinity 3,Wii U,GOOD
New Super Mario Bros U,Wii U,GOOD
Barbie Dreamhouse Party,Wii U,GOOD
Mario Kart 8,Wii U,GOOD
Nintendo Land,Wii U,GOOD
LEGO City Undercover,Wii U,GOOD
ZombiU,Wii U,GOOD
Paper Mario Color Splash,Wii U,GOOD
Mario & Sonic Rio 2016,Wii U,GOOD
Wii Sports Club,Wii U,GOOD
LEGO Marvel Avengers,Wii U,GOOD
Captain Toad: Treasure Tracker,Wii U,GOOD
LEGO Marvel Super Heroes 2,Switch,POOR/NONE
Sports Party,Switch,POOR/NONE
FIFA 22,Switch,POOR/NONE
Mario Kart 8 Deluxe,Switch,POOR/NONE
FIFA 21,Switch,POOR/NONE
LEGO DC Super-Villains,Switch,POOR/NONE
Olympic Games Tokyo 2020,Switch,POOR/NONE
Zelda: Tears of the Kingdom,Switch,POOR/NONE
